,name,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes
2021-22,Jevonnie Scott,5.7,2,5.0,3,-6.3,big-ten,4.3,27.0,16,0.1,0.4,15,0.4,6,0.533,8,0.375,3,11,0,,70,-10.6,3.6,2,-0.2,17,3.6,jevonnie-scott-1,15,15.0,Forward,1.8,2,penn-state,0.133,2,0.0,0,15.6,18,0.399,27.1,7,13,0.462,6,20.5,,0.0,-0.015
2021-22,Caleb Dorsey,5.2,2,1.7,1,0.1,big-ten,3.0,10.1,6,0.1,0.409,11,0.273,3,0.182,2,1.0,2,12,0,,70,-3.0,1.8,1,0.0,6,6.4,caleb-dorsey-1,11,11.0,Guard,2.7,3,penn-state,0.818,9,0.333,3,6.1,7,0.46,20.1,3,2,0.0,0,11.9,,0.1,0.043
2021-22,Andy Christos,0.0,0,0.0,0,-12.7,big-ten,-1.8,13.1,1,0.0,0.0,1,0.0,0,0.0,0,,0,4,0,,9,-10.9,0.0,0,0.0,1,-5.6,andy-christos-1,0,0.0,Guard,0.0,0,penn-state,1.0,1,0.0,0,6.7,1,0.0,0.0,0,0,,0,6.2,,0.0,-0.061
2021-22,Dan Conlan,0.0,0,0.0,0,-4.4,big-ten,-0.7,0.0,0,0.0,,0,,0,,0,,0,3,0,,4,-3.7,0.0,0,0.0,0,0.0,dan-conlan-1,0,0.0,Guard,0.0,0,penn-state,,0,,0,0.0,0,,,0,0,,0,0.0,,0.0,0.004
2021-22,Ishaan Jagiasi,0.0,0,0.0,0,-3.1,big-ten,0.5,0.0,0,0.0,,0,,0,,0,,0,2,0,,2,-3.7,0.0,0,0.0,0,0.0,ishaan-jagiasi-1,0,0.0,Guard,0.0,0,penn-state,,0,,0,0.0,0,,,0,0,,0,0.0,,0.0,0.004
2021-22,Irekefe Oweh,0.0,0,0.0,0,-42.8,big-ten,4.4,0.0,0,0.0,0.0,2,0.0,0,0.0,0,,0,2,0,,3,-47.2,0.0,0,-0.1,1,-39.5,irekefe-oweh-1,0,0.0,Guard,21.2,1,penn-state,0.0,0,,0,0.0,0,0.0,33.3,1,2,0.0,0,55.6,,-0.1,-0.694
2021-22,Jaden Ivey,19.2,110,2.0,20,7.2,big-ten,1.6,15.0,152,1.4,0.533,441,0.46,203,0.469,207,0.744,154,36,34,,1132,5.7,2.7,24,3.7,63,22.5,jaden-ivey-1,624,586.0,Guard,1.7,33,purdue,0.406,179,0.358,64,9.3,176,0.579,14.8,94,262,0.531,139,28.7,,5.1,0.181
2021-22,Zach Edey,16.1,44,7.4,46,13.1,big-ten,2.2,26.7,168,1.3,0.648,324,0.648,210,0.537,174,0.649,113,37,33,,703,11.0,21.3,117,4.2,74,40.9,zach-edey-1,533,492.0,Center,0.8,9,purdue,0.0,0,,0,24.2,285,0.655,13.6,64,324,0.648,210,34.4,,5.4,0.31
2021-22,Trevion Williams,34.1,112,3.5,23,11.9,big-ten,4.4,28.7,191,1.6,0.554,333,0.547,182,0.372,124,0.597,74,37,4,,744,7.4,14.4,84,3.0,78,31.9,trevion-williams-1,443,473.0,Forward,2.8,35,purdue,0.042,14,0.357,5,22.0,275,0.565,16.8,79,319,0.555,177,32.5,,4.6,0.245
2021-22,Sasha Stefanovic,16.9,111,0.7,7,4.9,big-ten,0.7,8.4,85,0.8,0.539,296,0.392,116,0.253,75,0.867,65,37,37,,1125,4.2,0.7,6,3.0,58,14.4,sasha-stefanovic-1,384,376.0,Guard,0.7,13,purdue,0.774,229,0.38,87,4.8,91,0.579,11.2,42,67,0.433,29,17.1,,3.9,0.137
2021-22,Eric Hunter Jr.,12.7,73,0.1,1,3.3,big-ten,1.7,7.0,60,0.8,0.561,173,0.462,80,0.312,54,0.685,37,37,19,,956,1.5,2.5,19,1.5,55,11.0,eric-hunterjr-1,231,237.0,Guard,1.5,24,purdue,0.451,78,0.436,34,4.9,79,0.581,17.8,43,95,0.484,46,13.0,,2.3,0.096
2021-22,Mason Gillis,7.6,35,1.0,7,6.1,big-ten,1.8,15.9,110,0.8,0.624,141,0.496,70,0.284,40,0.85,34,33,25,,776,4.3,8.1,49,2.0,62,15.3,mason-gillis-1,210,212.0,Forward,0.9,12,purdue,0.617,87,0.414,36,12.2,159,0.656,14.0,26,54,0.63,34,12.3,,2.8,0.146
2021-22,Isaiah Thompson,9.5,35,0.6,3,2.8,big-ten,0.6,5.0,27,0.4,0.6,110,0.436,48,0.264,29,0.793,23,37,20,,605,2.2,1.9,9,1.3,39,10.8,isaiah-thompson-1,155,146.0,Guard,0.6,6,purdue,0.773,85,0.424,36,3.5,36,0.626,12.1,17,25,0.48,12,12.0,,1.6,0.107
2021-22,Caleb Furst,4.4,13,1.8,8,4.0,big-ten,1.1,15.9,71,0.5,0.64,82,0.573,47,0.561,46,0.717,33,34,12,,498,2.9,9.8,38,1.2,37,15.8,caleb-furst-1,138,138.0,Forward,0.7,6,purdue,0.317,26,0.423,11,13.1,109,0.664,15.5,19,56,0.643,36,12.7,,1.8,0.143
2021-22,Brandon Newman,8.8,16,1.8,5,-0.1,big-ten,1.1,15.6,44,0.4,0.445,109,0.321,35,0.22,24,0.792,19,25,1,,315,-1.2,1.2,3,0.4,33,11.8,brandon-newman-2,116,105.0,Guard,1.9,10,purdue,0.771,84,0.321,27,8.9,47,0.482,10.4,14,25,0.32,8,21.9,,0.8,0.104
2021-22,Ethan Morton,14.5,50,1.7,8,5.8,big-ten,3.9,9.4,46,0.7,0.592,65,0.477,31,0.292,19,0.684,13,37,0,,548,1.8,1.6,7,0.9,28,11.9,ethan-morton-1,90,105.0,Guard,2.4,22,purdue,0.523,34,0.441,15,5.8,53,0.608,18.7,17,31,0.516,16,8.5,,1.5,0.111
2021-22,Carson Barrett,9.1,1,0.0,0,-22.5,big-ten,-7.3,17.7,3,0.0,0.25,8,0.25,2,0.125,1,0.0,0,9,0,,19,-15.2,20.2,3,-0.1,2,-8.2,carson-barrett-1,4,6.0,Guard,0.0,0,purdue,0.375,3,0.0,0,18.8,6,0.236,32.1,4,5,0.4,2,33.7,,-0.1,-0.21
2021-22,Matt Frost,0.0,0,0.0,0,-8.3,big-ten,-2.7,0.0,0,0.0,0.2,5,0.2,1,0.4,2,1.0,2,9,0,,18,-5.6,21.3,3,0.0,2,7.4,matt-frost-1,4,5.0,Forward,3.3,1,purdue,0.0,0,,0,9.9,3,0.336,14.4,1,5,0.2,1,19.8,,0.0,0.045
2021-22,Chase Martin,10.0,1,0.0,0,-24.8,big-ten,-2.5,14.0,2,0.0,0.2,5,0.2,1,0.6,3,0.0,0,8,0,,16,-22.3,0.0,0,-0.1,3,-12.4,chase-martin-1,2,2.0,Guard,3.7,1,purdue,0.0,0,,0,7.5,2,0.156,23.7,2,5,0.2,1,27.1,,-0.1,-0.215
2021-22,Jared Wulbrun,0.0,0,0.0,0,-11.3,big-ten,-2.0,5.6,1,0.0,0.0,2,0.0,0,1.0,2,1.0,2,10,0,,20,-9.2,0.0,0,-0.1,1,-5.5,jared-wulbrun-1,2,2.0,Guard,0.0,0,purdue,0.5,1,0.0,0,3.0,1,0.339,40.4,2,1,0.0,0,12.7,,0.0,-0.086
2021-22,Ron Harper Jr.,11.6,61,2.2,20,6.4,big-ten,1.6,15.6,147,1.5,0.53,387,0.442,171,0.315,122,0.795,97,32,32,,1098,4.8,4.4,41,2.9,65,20.5,ron-harperjr-1,507,458.0,Guard,1.8,33,rutgers,0.442,171,0.398,68,10.0,188,0.57,10.5,52,216,0.477,103,24.0,,4.4,0.159
2021-22,Clifford Omoruyi,2.8,12,5.2,40,4.5,big-ten,1.6,23.0,181,1.5,0.626,258,0.624,161,0.38,98,0.602,59,32,32,,919,2.9,8.8,69,2.3,70,22.6,clifford-omoruyi-1,382,331.0,Center,1.1,17,rutgers,0.023,6,0.167,1,15.9,250,0.627,11.9,41,252,0.635,160,19.9,,3.9,0.168
2021-22,Geo Baker,22.5,108,1.5,12,3.8,big-ten,1.2,5.6,46,0.9,0.477,329,0.398,131,0.164,54,0.741,40,28,27,,963,2.6,1.7,14,1.5,43,15.2,geo-baker-1,354,351.0,Guard,2.1,33,rutgers,0.477,157,0.331,52,3.6,60,0.499,11.3,45,172,0.459,79,22.0,,2.4,0.101
2021-22,Paul Mulcahy,31.2,169,0.9,8,2.1,big-ten,1.4,10.7,94,1.2,0.488,256,0.438,112,0.191,49,0.776,38,32,32,,1029,0.7,4.3,38,1.2,75,14.6,paul-mulcahy-1,288,348.0,Guard,2.1,36,rutgers,0.293,75,0.347,26,7.5,132,0.516,22.9,83,181,0.475,86,18.6,,2.4,0.095
2021-22,Caleb McConnell,12.9,67,1.9,15,3.3,big-ten,4.9,16.5,135,1.9,0.434,219,0.397,87,0.247,54,0.667,36,32,31,,956,-1.5,4.4,36,0.3,89,13.2,caleb-mcconnell-1,226,241.0,Guard,4.5,70,rutgers,0.269,59,0.271,16,10.5,171,0.462,17.5,52,160,0.444,71,16.4,,2.1,0.09
2021-22,Aundre Hyatt,10.0,21,2.3,8,-0.3,big-ten,0.5,17.7,62,0.5,0.399,139,0.353,49,0.295,41,0.634,26,32,1,,408,-0.7,8.1,28,0.2,30,12.3,aundre-hyatt-1,137,139.0,Forward,1.0,7,rutgers,0.345,48,0.271,13,12.9,90,0.432,11.7,21,91,0.396,36,23.3,,0.7,0.066
2021-22,Mawot Mag,6.8,12,2.5,7,-1.4,big-ten,0.8,10.0,28,0.4,0.44,75,0.413,31,0.307,23,0.696,16,28,2,,328,-2.2,8.6,24,0.2,36,10.3,mawot-mag-1,82,86.0,Forward,1.5,8,rutgers,0.227,17,0.235,4,9.3,52,0.477,16.5,17,58,0.466,27,16.6,,0.5,0.067
2021-22,Dean Reiber,12.0,12,6.2,11,3.9,big-ten,3.5,14.4,26,0.3,0.586,64,0.531,34,0.188,12,0.583,7,28,0,,211,0.3,5.6,10,0.3,32,18.0,dean-reiber-1,82,73.0,Forward,2.3,8,rutgers,0.188,12,0.583,7,10.0,36,0.588,17.7,15,52,0.519,27,21.2,,0.6,0.123
2021-22,Jaden Jones,3.4,3,1.4,2,-1.6,big-ten,-1.4,6.0,9,0.1,0.417,66,0.364,24,0.152,10,0.7,7,17,3,,176,-0.2,7.3,11,0.2,7,11.7,jaden-jones-2,62,57.0,Guard,0.7,2,rutgers,0.455,30,0.233,7,6.7,20,0.438,2.7,2,36,0.472,17,21.9,,0.3,0.068
2021-22,Ralph Agee,6.0,4,1.9,2,-3.3,big-ten,0.0,8.5,9,0.1,0.462,26,0.462,12,0.538,14,0.643,9,17,0,,123,-3.4,8.6,9,0.0,13,9.3,ralph-agee-1,33,34.0,Forward,1.0,2,rutgers,0.0,0,,0,8.6,18,0.505,21.6,9,26,0.462,12,17.9,,0.2,0.049
2021-22,Oskar Palmquist,12.0,6,0.0,0,0.6,big-ten,0.6,6.5,5,0.1,0.559,17,0.412,7,0.353,6,0.5,3,15,0,,90,0.1,6.5,5,0.2,11,11.0,oskar-palmquist-1,22,23.0,Forward,1.4,2,rutgers,0.647,11,0.455,5,6.5,10,0.554,13.1,3,6,0.333,2,13.4,,0.2,0.1
2021-22,Jalen Miller,7.2,8,1.3,2,-2.8,big-ten,3.4,6.3,10,0.2,0.353,17,0.353,6,0.235,4,0.75,3,24,0,,184,-6.2,2.6,4,-0.1,29,2.5,jalen-miller-1,15,19.0,Guard,2.3,7,rutgers,0.059,1,0.0,0,4.5,14,0.397,29.7,8,16,0.375,6,7.7,,0.1,0.022
2021-22,Luke Nathan,37.4,2,11.9,1,-3.7,big-ten,4.1,11.7,1,0.0,0.333,3,0.333,1,0.0,0,,0,4,0,,10,-7.8,11.8,1,0.0,3,8.8,luke-nathan-1,2,3.0,Forward,0.0,0,rutgers,0.0,0,,0,11.7,2,0.333,25.0,1,3,0.333,1,21.2,,0.0,0.028
2021-22,Aiden Terry,31.5,1,0.0,0,-28.2,big-ten,0.4,93.4,4,0.0,,0,,0,,0,,0,3,0,,5,-28.7,0.0,0,-0.1,1,-20.4,aiden-terry-1,0,1.0,Guard,0.0,0,rutgers,,0,,0,46.8,4,,100.0,3,0,,0,31.8,,-0.1,-0.414
2021-22,Johnny Davis,14.8,66,2.3,23,8.9,big-ten,3.0,23.8,214,2.0,0.464,492,0.427,210,0.398,196,0.791,155,31,31,,1060,5.8,4.3,41,2.5,63,24.3,jonathan-davis-3,612,577.0,Guard,2.0,36,wisconsin,0.246,121,0.306,37,13.8,255,0.523,10.8,71,371,0.466,173,32.5,,4.5,0.171
2021-22,Brad Davison,12.3,69,0.0,0,6.0,big-ten,2.3,12.5,121,1.5,0.492,362,0.384,139,0.345,125,0.864,108,33,33,,1136,3.6,1.1,11,2.9,79,16.9,brad-davison-1,464,431.0,Guard,1.5,28,wisconsin,0.622,225,0.347,78,6.6,132,0.551,6.4,29,137,0.445,61,20.8,,4.4,0.154
2021-22,Tyler Wahl,10.7,49,2.7,25,6.4,big-ten,3.7,16.5,137,1.7,0.527,281,0.516,145,0.356,100,0.7,70,32,32,,976,2.7,5.9,52,1.8,80,19.0,tyler-wahl-1,366,360.0,Forward,2.3,37,wisconsin,0.132,37,0.162,6,11.1,189,0.557,13.7,52,244,0.57,139,20.5,,3.6,0.146
2021-22,Steven Crowl,11.9,48,1.1,9,5.0,big-ten,1.9,13.5,96,1.0,0.552,230,0.496,114,0.196,45,0.8,36,33,33,,836,3.1,6.4,48,2.0,84,16.5,steven-crowl-1,290,290.0,Forward,0.6,9,wisconsin,0.357,82,0.317,26,9.9,144,0.577,11.0,31,148,0.595,88,17.7,,3.0,0.144
2021-22,Chucky Hepburn,14.3,77,0.5,5,2.4,big-ten,2.9,7.3,63,1.3,0.47,237,0.388,92,0.236,56,0.696,39,33,33,,1022,-0.5,0.8,7,0.8,70,10.6,chucky-hepburn-1,262,263.0,Guard,2.1,36,wisconsin,0.473,112,0.348,39,3.9,70,0.497,12.9,39,125,0.424,53,15.5,,2.2,0.085
2021-22,Chris Vogt,9.4,21,6.5,26,3.1,big-ten,3.8,14.4,52,0.8,0.5,78,0.5,39,0.474,37,0.514,19,33,0,,424,-0.7,13.4,51,0.7,76,15.6,chris-vogt-1,97,124.0,Center,1.5,11,wisconsin,0.013,1,0.0,0,13.9,103,0.507,15.8,18,77,0.506,39,14.1,,1.5,0.138
2021-22,Lorne Bowman II,9.2,11,0.0,0,-0.7,big-ten,2.0,10.8,21,0.3,0.443,61,0.344,21,0.41,25,0.48,12,22,0,,228,-2.7,1.5,3,-0.1,24,7.1,lorne-bowmanii-1,66,63.0,Guard,1.6,6,wisconsin,0.492,30,0.4,12,6.0,24,0.453,15.1,13,31,0.29,9,19.8,,0.2,0.042
2021-22,Ben Carlson,2.5,4,0.4,1,-1.9,big-ten,0.2,16.1,40,0.4,0.341,66,0.333,22,0.197,13,0.538,7,32,2,,292,-2.1,9.5,25,-0.1,17,6.5,ben-carlson-1,52,62.0,Forward,0.4,2,wisconsin,0.318,21,0.048,1,12.7,65,0.36,12.2,10,45,0.467,21,14.8,,0.2,0.033
2021-22,Jahcobi Neath,6.3,8,0.5,1,-0.7,big-ten,1.5,13.1,25,0.3,0.302,43,0.256,11,0.349,15,0.733,11,23,1,,224,-2.2,4.5,9,0.0,13,6.0,jahcobi-neath-1,37,42.0,Guard,1.1,4,wisconsin,0.419,18,0.222,4,8.7,34,0.369,10.7,6,25,0.28,7,13.1,,0.2,0.042
2021-22,Jordan Davis,4.2,4,1.8,3,0.4,big-ten,2.0,10.1,15,0.2,0.425,40,0.325,13,0.075,3,0.333,1,27,0,,175,-1.6,5.7,9,0.0,19,6.7,jordan-davis-24,35,37.0,Guard,1.4,4,wisconsin,0.7,28,0.286,8,7.8,24,0.422,12.7,6,12,0.417,5,14.2,,0.2,0.052
2021-22,Carter Gilmore,8.0,8,2.5,4,-0.1,big-ten,2.9,10.9,16,0.2,0.278,27,0.259,7,0.259,7,0.571,4,22,0,,173,-3.0,3.9,6,0.0,20,4.4,carter-gilmore-1,19,24.0,Forward,0.7,2,wisconsin,0.481,13,0.077,1,7.3,22,0.313,6.2,2,14,0.429,6,9.8,,0.2,0.041
2021-22,Markus Ilver,0.0,0,0.0,0,-16.8,big-ten,-1.9,12.2,3,0.0,0.125,8,0.125,1,0.5,4,0.75,3,8,0,,29,-15.0,3.8,1,-0.1,7,-7.7,markus-ilver-1,5,5.0,Forward,0.0,0,wisconsin,0.625,5,0.0,0,7.9,4,0.253,16.8,2,3,0.333,1,21.5,,-0.1,-0.101
2021-22,Isaac Lindsey,0.0,0,0.0,0,-7.9,big-ten,-2.7,0.0,0,0.0,0.3,5,0.2,1,0.0,0,,0,6,0,,13,-5.1,0.0,0,0.0,0,-1.3,isaac-lindsey-1,3,3.0,Guard,0.0,0,wisconsin,0.6,3,0.333,1,0.0,0,0.3,0.0,0,2,0.0,0,20.2,,0.0,-0.052
2021-22,Carter Higginbottom,0.0,0,0.0,0,-34.0,big-ten,-6.7,0.0,0,0.0,0.0,1,0.0,0,0.0,0,,0,6,0,,6,-27.3,0.0,0,-0.1,2,-34.8,carter-higginbottom-1,0,0.0,Guard,0.0,0,wisconsin,0.0,0,,0,0.0,0,0.0,66.7,2,1,0.0,0,26.2,,-0.1,-0.447
2021-22,Justin Taphorn,0.0,0,0.0,0,-14.1,big-ten,-2.9,0.0,0,0.0,,0,,0,,0,,0,4,0,,5,-11.2,0.0,0,0.0,0,-12.7,justin-taphorn-1,0,0.0,Guard,0.0,0,wisconsin,,0,,0,0.0,0,,100.0,1,0,,0,10.5,,0.0,-0.187
