,name,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes
2021-22,Connor McCaffery,16.2,65,0.0,0,3.7,big-ten,2.6,12.7,66,0.6,0.5,72,0.347,25,0.25,18,0.722,13,34,5,,578,1.1,3.6,19,1.0,53,10.5,connor-mccaffery-1,85,118.0,Guard,1.7,17,iowa,0.903,65,0.338,22,8.1,85,0.528,14.8,14,7,0.429,3,7.9,,1.6,0.109
2021-22,Austin Ash,26.6,11,0.0,0,1.9,big-ten,-3.1,9.8,7,0.0,0.538,39,0.436,17,0.359,14,0.714,10,18,0,,79,5.0,4.1,3,0.3,5,23.7,austin-ash-1,52,50.0,Guard,0.0,0,iowa,0.667,26,0.308,8,7.0,10,0.57,11.6,6,13,0.692,9,31.8,,0.4,0.191
2021-22,Josh Ogundele,0.0,0,5.4,5,-3.3,big-ten,1.6,18.1,16,0.2,0.542,24,0.542,13,0.417,10,0.3,3,19,0,,98,-4.9,8.9,8,0.0,19,10.4,josh-ogundele-1,29,27.0,Forward,2.3,4,iowa,0.0,0,,0,13.5,24,0.504,23.8,9,24,0.542,13,18.7,,0.1,0.052
2021-22,Riley Mulvey,3.6,2,6.3,5,-2.7,big-ten,0.9,14.7,11,0.1,0.5,12,0.5,6,0.333,4,1.0,4,17,0,,83,-3.6,5.3,4,0.1,12,9.1,riley-mulvey-1,16,17.0,Center,0.0,0,iowa,0.167,2,0.0,0,9.9,15,0.576,22.3,4,10,0.6,6,10.5,,0.2,0.08
2021-22,Luc Laketa,4.5,1,0.0,0,2.2,big-ten,1.6,3.3,1,0.0,0.75,6,0.5,3,0.0,0,,0,12,0,,34,0.6,3.2,1,0.0,1,10.8,luc-laketa-1,9,8.0,Guard,3.3,2,iowa,0.833,5,0.6,3,3.2,2,0.75,33.3,3,1,0.0,0,12.9,,0.1,0.066
2021-22,Fatts Russell,24.8,119,0.5,5,4.0,big-ten,1.3,12.7,117,1.0,0.469,390,0.41,160,0.382,149,0.785,117,32,31,,1044,2.7,1.6,14,2.0,78,18.4,fatts-russell-1,483,485.0,Guard,2.4,43,maryland,0.338,132,0.348,46,7.2,131,0.524,14.6,79,258,0.442,114,26.9,,3.0,0.114
2021-22,Eric Ayala,13.5,65,0.4,4,2.8,big-ten,-0.1,14.5,132,0.8,0.476,399,0.383,153,0.273,109,0.688,75,31,29,,1034,2.9,1.3,12,1.3,39,15.1,eric-ayala-1,455,421.0,Guard,1.4,24,maryland,0.546,218,0.339,74,8.0,144,0.505,11.7,60,181,0.436,79,25.7,,2.1,0.08
2021-22,Donta Scott,7.7,39,2.5,24,3.3,big-ten,0.8,15.4,145,1.0,0.485,337,0.427,144,0.282,95,0.8,76,32,31,,1066,2.5,5.8,53,1.7,63,16.4,donta-scott-1,403,387.0,Forward,1.4,26,maryland,0.398,134,0.291,39,10.7,198,0.527,12.0,52,203,0.517,105,21.2,,2.7,0.102
2021-22,Hakim Hart,12.0,60,1.3,12,6.9,big-ten,3.3,9.9,87,1.0,0.601,207,0.527,109,0.386,80,0.85,68,32,31,,995,3.6,3.2,27,2.7,54,18.7,hakim-hart-1,317,307.0,Guard,2.9,49,maryland,0.454,94,0.33,31,6.6,114,0.647,10.6,29,113,0.69,78,14.3,,3.7,0.15
2021-22,Qudus Wahab,4.2,12,4.3,24,2.4,big-ten,0.9,23.2,126,0.7,0.559,170,0.559,95,0.494,84,0.667,56,32,31,,617,1.5,10.2,54,1.2,62,19.7,qudus-wahab-1,246,238.0,Center,0.7,7,maryland,0.012,2,0.0,0,16.7,180,0.586,16.3,41,168,0.565,95,21.1,,2.0,0.128
